"card-title","card-title href","job-component-icon-and-text","job-component-icon-and-text 2","job-component-icon-and-text 3","job-component-icon-and-text 4","job-component-icon-and-text 5","job-component-icon-and-text 6","card-text"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-kingswood-sa-australia-f8552eb2-d999-4b9f-b7e0-36ae0bdf0540","Kingswood, SA, Australia","SA","Nursing","Casual","Closing on: Oct 26 2024","Aged Care","We are looking for a Registered Nurse to come and join our team at Calvary Kingswood!"
"Supply Officer","https://careers.calvarycare.org.au/jobs/supply-officer-adelaide-sa-australia-75603160-c0b2-4ca2-b0ad-d2473dc90d5b","Adelaide, SA, Australia","SA","Property, Procurement & Supply","Permanent","Closing on: Oct 11 2024","Hospitals Private","We are looking for an experienced  Supply Officer to join our team at Calvary!"
"Travelling Team Leader - Aged Care","https://careers.calvarycare.org.au/jobs/travelling-team-leader-aged-care-coffs-harbour-nsw-australia","Coffs Harbour, NSW, Australia","NSW","Nursing","Fixed Term","Closing on: Oct 26 2024","Aged Care","Calling all adventurous Aged Care Team Leader (Enrolled Nurse Qualified) that are ready to explore!!"
"Travelling Registered Nurse - Aged Care","https://careers.calvarycare.org.au/jobs/travelling-registered-nurse-aged-care-coffs-harbour-nsw-australia","Coffs Harbour, NSW, Australia","NSW","Nursing","Fixed Term","Closing on: Oct 26 2024","Aged Care","Calling all adventurous Aged Care Registered Nurses that are ready to explore!!"
"Registered Nurse - Night Duty","https://careers.calvarycare.org.au/jobs/registered-nurse-night-duty-cowandilla-sa-australia","Cowandilla, SA, Australia","SA","Nursing","Permanent","Closing on: Oct 11 2024","Aged Care","We are looking for a Registered Nurse to come and join our night duty team at Calvary Flora MacDonald!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-colac-vic-australia-16d5bf49-69b9-4c69-9d09-55efed70a666","Colac, VIC, Australia","VIC","Aged Care Support","Nursing","Casual","Closing on: Oct 26 2024","We are looking for a Registered Nurse to join our team on a casual basis!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-waratah-nsw-australia-d7be3409-6c86-463f-80c5-0b2c94cbfd74","Waratah, NSW, Australia","NSW","Nursing","Permanent","Closing on: Oct 13 2024","Hospitals Public","Calvary Mater Newcastle are seeking an experienced Registered Nurse to join our Outpatient Services Department."
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/personal-care-worker-singleton-nsw-australia","Singleton, NSW, Australia","NSW","Aged Care Support","Permanent","Closing on: Oct 24 2024","Aged Care","Fantastic Permanent Part Time or Casual opportunity! Join our team at Calvary Singleton and make a real difference in the community!"
"Support Worker - Catering","https://careers.calvarycare.org.au/jobs/support-worker-catering-waratah-nsw-australia-6a6d5c0d-ce4e-414e-ace7-780bad849cfc","Waratah, NSW, Australia","NSW","Hospitality","Casual","Closing on: Oct 20 2024","Aged Care","We are looking for Support Workers - catering to join our team at Calvary St Martin De Porres in Waratah! Casual opportunities available!"
"Orderly","https://careers.calvarycare.org.au/jobs/orderly-adelaide-sa-australia","Adelaide, SA, Australia","SA","Hospitality","Casual","Closing on: Oct 12 2024","Hospitals Private","We are looking for Orderlies to join our team at Calvary!"
"Work Health Safety & Wellness Advisor","https://careers.calvarycare.org.au/jobs/work-health-safety-wellness-advisor-adelaide-sa-australia-32be900f-efe2-4d2f-a697-c706c88b072e","Adelaide, SA, Australia","SA","Human Resource & Recruitment","Permanent","Closing on: Oct 24 2024","Corporate","We are looking for a Work Health Safety & Wellness Advisor to join our team at Calvary!"
"Psychologist Grade 2 (Clinical or Health Psychologist)","https://careers.calvarycare.org.au/jobs/psychologist-grade-2-clinical-or-health-psychologist-caulfield-vic-australia","Caulfield, VIC, Australia","VIC","Allied Health / Health Professionals","Permanent","Closing on: Oct 21 2024","Hospitals Public","Clinical Psychologist or Health Psychologist Grade 2 permanent part-time, 16 hrs/week (supervision available for registrars)

The Psychology Department at Calvary Health Care Bethlehem is seeking a passionate Grade 2 Clinical or Health Psychologis..."
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-bruce-act-australia-127501ef-6e55-4226-8df3-0f99834dfb7e","Bruce, ACT, Australia","ACT","Nursing","Permanent","Closing on: Oct 17 2024","Hospitals Private","We are looking for a Registered nurse for our Calvary Bruce Private Hospital ."
"Support Worker","https://careers.calvarycare.org.au/jobs/support-worker-deakin-act-australia","Deakin, ACT, Australia","ACT","Aged Care Support","Permanent","Closing on: Oct 13 2024","Home Care","We are looking for Support Workers to join our Home Care team at Calvary!"
"Registered Midwife","https://careers.calvarycare.org.au/jobs/registered-midwife-wagga-wagga-nsw-australia","Wagga Wagga, NSW, Australia","NSW","Nursing","Permanent","Closing on: Oct 9 2024","Hospitals Private","Join our Registered Midwife team at Calvary Riverina Hospital!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-lakes-entrance-vic-australia-8a6b8ec4-fd4f-4067-b0ab-9efb86bffe2a","Lakes Entrance, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Oct 26 2024","Aged Care","Join our team at Calvary Lakes Entrance."
"Clinical Care Coordinator","https://careers.calvarycare.org.au/jobs/clinical-care-coordinator-sandgate-nsw-australia-2ede6b89-b951-4a31-bd61-e96249a15fbf","Sandgate, NSW, Australia","NSW","Nursing","Permanent","Closing on: Oct 13 2024","Aged Care","We are looking for a Clinical Care Coordinator to join our team at Calvary St Joseph's in Sandgate! Permanent Part Time Opportunity - 2 days a week!"
"Chef Manager","https://careers.calvarycare.org.au/jobs/chef-manager-sandgate-nsw-australia-72f55d9b-099c-4ef1-b630-f503e9bfb498","Sandgate, NSW, Australia","NSW","Hospitality","Permanent","Closing on: Oct 20 2024","Aged Care","We are looking for a Chef Manager to join our team at Calvary St Josephs in Sandgate! Permanent Full Time Opportunity!"
"Student Midwife","https://careers.calvarycare.org.au/jobs/student-midwife-wagga-wagga-nsw-australia","Wagga Wagga, NSW, Australia","NSW","Nursing","Fixed Term","Closing on: Oct 9 2024","Hospitals Private","Join our Student Midwife team at Calvary Riverina Hospital!"
"Chef Manager","https://careers.calvarycare.org.au/jobs/chef-manager-gympie-qld-australia","Gympie, QLD, Australia","QLD","Hospitality","Permanent","Closing on: Oct 25 2024","Aged Care","We are looking for Chef Manager to join our team at Calvary!"
"Case Manager","https://careers.calvarycare.org.au/jobs/case-manager-ryde-nsw-australia","Ryde, NSW, Australia","NSW","Aged Care Support","Permanent","Closing on: Oct 25 2024","Home Care","We are looking for Case Manager to join our team at Calvary!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-sandgate-nsw-australia-3a8afb2f-04c1-411b-a073-424d47570005","Sandgate, NSW, Australia","NSW","Nursing","Permanent","Closing on: Oct 20 2024","Aged Care","We are looking for a Registered Nurse to join our team at Calvary in Sandgate! Permanent part time opportunity - Enjoy work/life balance!"
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/personal-care-worker-eleebana-nsw-australia-e6a4edf6-4b3c-4f0b-9ba3-4c407adfb188","Eleebana, NSW, Australia","NSW","Aged Care Support","Casual","Closing on: Oct 20 2024","Aged Care","Casual role available! Join our expanding team in at Calvary St Francis Aged Care in Eleebana!"
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/personal-care-worker-lower-plenty-vic-australia-a0ca49f3-1aca-47e0-9c14-5c8de8201582","Lower Plenty, VIC, Australia","VIC","Nursing","Permanent","Closing on: Oct 15 2024","Aged Care","We are looking for a Night shift Support Worker to join our team at Calvary!"
"Registered Nurse - Surgical/Medical","https://careers.calvarycare.org.au/jobs/registered-nurse-surgical-launceston-tas-australia","Launceston, TAS, Australia","TAS","Nursing","Permanent","Closing on: Oct 31 2024","Hospitals Private","Join our Surgical/Medical Registered Nurse team at Calvary St Vincent's Hospital!"
"Chef","https://careers.calvarycare.org.au/jobs/chef-muswellbrook-nsw-australia","Muswellbrook, NSW, Australia","NSW","Hospitality","Permanent","Closing on: Oct 23 2024","Aged Care","We are looking for Chef to join our team at Calvary Muswellbrook! Permanent Full Time opportunity"
"Leisure & Activities Coordinator","https://careers.calvarycare.org.au/jobs/leisure-activities-coordinator-colac-vic-australia","Colac, VIC, Australia","VIC","Administration & Office Support","Aged Care Support","Hospitality","Permanent","We are looking for a Leisure & Activities Coordinator to join our team at Calvary Barongarook Gardens!"
"Maintenance Manager","https://careers.calvarycare.org.au/jobs/maintenance-manager-ryde-nsw-australia","Ryde, NSW, Australia","NSW","Maintenance, Engineering & Trades","Permanent","Closing on: Oct 15 2024","Aged Care","We are looking for a Maintenance Manager to join our team at Calvary Ryde Residential Aged Care! Exciting permanent full time opportunity - Monday to Friday!"
"Dietitian","https://careers.calvarycare.org.au/jobs/dietitian-caulfield-vic-australia-87af33fc-f134-4db4-8091-1c36e733a490","Caulfield, VIC, Australia","VIC","Allied Health / Health Professionals","Permanent","Closing on: Oct 24 2024","Hospitals Public","We are looking for a Grade 1 or Grade 2 NDIS Dietitian to join our team at Calvary!"
"Maintenance Officer","https://careers.calvarycare.org.au/jobs/maintenance-officer-mount-waverley-vic-australia-f7327a7d-5afa-478e-8c0d-a473614a4e8f","Mount Waverley, VIC, Australia","VIC","Maintenance, Engineering & Trades","Permanent","Closing on: Oct 13 2024","Aged Care","We are looking for POSITION TITLE to join our team at Calvary The Regent!"
"People and Culture Partner","https://careers.calvarycare.org.au/jobs/people-and-culture-partner-canberra-act-australia-sydney-nsw-6a20fb75-95b5-4df7-801e-9c0746546899","Canberra, ACT, Australia","Sydney, NSW, Australia","ACT","NSW","Human Resource & Recruitment","Permanent","Exciting opportunity for an experienced P&C / HR Partner to join our team at Calvary!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-cowandilla-sa-australia-ab1aa9de-2f79-44be-b31c-b66ce17f9ac1","Cowandilla, SA, Australia","SA","Nursing","Permanent","Closing on: Oct 9 2024","Aged Care","We are looking for Registered Nurses to come and join our team at Calvary Flora MacDonald!"
"Gardener/Handyman","https://careers.calvarycare.org.au/jobs/gardener-handyman-wagga-wagga-nsw-australia","Wagga Wagga, NSW, Australia","NSW","Maintenance, Engineering & Trades","Permanent","Closing on: Sep 30 2024","Hospitals Private","We are looking for a gardener/handyman to join our team at Calvary!"
"New Graduate Radiation Therapist","https://careers.calvarycare.org.au/jobs/new-graduate-radiation-therapist-newcastle-nsw-australia","Newcastle, NSW, Australia","NSW","Allied Health / Health Professionals","Fixed Term","Closing on: Oct 6 2024","Hospitals Public","We are looking for New Graduate Radiation Therapist to join our team at Calvary!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-singleton-nsw-australia-81475ac1-5519-43c4-958a-b32b36ac07be","Singleton, NSW, Australia","NSW","Nursing","Permanent","Closing on: Oct 8 2024","Aged Care","Fantastic Permanent Full Time or Part Time opportunity! Join our team at Calvary Singleton and make a real difference in the community!"
"Speech Pathologist","https://careers.calvarycare.org.au/jobs/speech-pathologist-caulfield-vic-australia-7c968aca-4267-4d06-a9c8-a21fa6d78b46","Caulfield, VIC, Australia","VIC","Allied Health / Health Professionals","Fixed Term","Closing on: Oct 24 2024","Hospitals Public","Seeking a Speech Pathologist to join our team at Bethlehem!"
"Calvary Assist Manager","https://careers.calvarycare.org.au/jobs/calvary-assist-manager-melbourne-vic-australia","Melbourne, VIC, Australia","VIC","Aged Care Support","Corporate Services & Governance","Marketing & Communications","Permanent","Join Our Team as the Calvary Assist Manager!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-muswellbrook-nsw-australia-2a338e4d-0df7-4c30-b8b0-c2e265026fb0","Muswellbrook, NSW, Australia","NSW","Nursing","Permanent","Closing on: Oct 22 2024","Aged Care","We are looking for Registered Nurse to join our team at Calvary Muswellbrook Retirement Community! Exciting Permanent Full Time Opportunity!"
"Leisure & Activities Officer","https://careers.calvarycare.org.au/jobs/leisure-activities-officer-eleebana-nsw-australia-bd0a3b67-47c2-4a19-8757-065138e185de","Eleebana, NSW, Australia","NSW","Aged Care Support","Permanent","Closing on: Oct 20 2024","Aged Care","We are looking for a Leisure & Activities Officer to join our team at Calvary St Francis in Eleebana. Exciting Permanent Full Time Opportunity!"
"Patient Services Officer","https://careers.calvarycare.org.au/jobs/patient-services-officer-north-adelaide-sa-australia-204e27dd-7537-468b-bb96-9c1b746251ee","North Adelaide, SA, Australia","SA","Administration & Office Support","Casual","Closing on: Oct 8 2024","Hospitals Private","We are looking for a Patient Services Officer to come and join our team!"
"Radiation Therapist","https://careers.calvarycare.org.au/jobs/radiation-therapist-newcastle-nsw-australia","Newcastle, NSW, Australia","NSW","Allied Health / Health Professionals","Fixed Term","Closing on: Oct 6 2024","Hospitals Public","We are looking for a Radiation Therapist to join our team at Calvary for a 6 month contract"
"Occupational Therapist","https://careers.calvarycare.org.au/jobs/occupational-therapist-adelaide-sa-australia-79f8c508-f5a7-4773-bc8b-d6fd51d6aa2f","Adelaide, SA, Australia","SA","Allied Health / Health Professionals","Fixed Term","Closing on: Oct 5 2024","Hospitals Private","Seeking one full-time New Graduate Occupational Therapist"
"Registered Nurse - Neurosurgical and ENT","https://careers.calvarycare.org.au/jobs/registered-nurse-neurosurgical-and-ent-adelaide-sa-australia","Adelaide, SA, Australia","SA","Allied Health / Health Professionals","Nursing","Permanent","Closing on: Oct 5 2024","Join our Registered Nurse team at Calvary Adelaide Hospital!"
"General Service Assistant","https://careers.calvarycare.org.au/jobs/general-service-assistant-adelaide-sa-australia-8533c3ea-2bb7-47bc-b8e4-9f326b5c087a","Adelaide, SA, Australia","SA","Hospitality","Casual","Closing on: Nov 1 2024","Hospitals Private","We are looking for General Service Assistants to join our team at Calvary!"
"Perioperative Registered Nurse","https://careers.calvarycare.org.au/jobs/perioperative-registered-nurse-wagga-wagga-nsw-australia","Wagga Wagga, NSW, Australia","NSW","Allied Health / Health Professionals","Permanent","Closing on: Oct 20 2024","Hospitals Private","Seeking Registered Nurse to join our perioperative services at our Private Riverina Hospital."
"New Graduate Physiotherapist 2025","https://careers.calvarycare.org.au/jobs/new-graduate-physiotherapist-lvl-1-year-1-2-newcastle-nsw-australia","Newcastle, NSW, Australia","NSW","Allied Health / Health Professionals","Fixed Term","Closing on: Oct 6 2024","Hospitals Public","We are looking for 2024 Graduating Physiotherapists to join our team at Calvary!"
"Personal Care Support Worker - Muswellbrook, Scone & Surrounding Areas","https://careers.calvarycare.org.au/jobs/personal-care-support-worker-muswellbrook-scone-surrounding-areas-warabrook-nsw-australia","Warabrook, NSW, Australia","NSW","Allied Health / Health Professionals","Casual","Closing on: Oct 21 2024","Home Care","We are looking for Support Workers to join our team at Calvary!"
"Personal Care Support Workers - Newcastle Region","https://careers.calvarycare.org.au/jobs/personal-care-support-workers-newcastle-region-warabrook-nsw-australia","Warabrook, NSW, Australia","NSW","Aged Care Support","Permanent","Closing on: Oct 21 2024","Home Care","We are looking for Personal Care Support Workers to join our team at Calvary!"
"Nurse Manager Perioperative Services","https://careers.calvarycare.org.au/jobs/nurse-manager-perioperative-services-newcastle-nsw-australia","Newcastle, NSW, Australia","NSW","Nursing","Permanent","Closing on: Oct 6 2024","Hospitals Public","We are looking for Nurse Manager Perioperative Services to join our team at Calvary!"
"Village Manager - Aged Care","https://careers.calvarycare.org.au/jobs/village-manager-aged-care-walkley-heights-sa-australia","Walkley Heights, SA, Australia","SA","CEO & General Management","Permanent","Closing on: Oct 4 2024","Aged Care","We are looking for a Village Manager to come and join our team at The Homestead!"
"Roster Support Officer","https://careers.calvarycare.org.au/jobs/roster-support-officer-melbourne-vic-australia","Melbourne, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Oct 15 2024","Aged Care","We are looking for a Roster Support Officer to join our team at Calvary!"
"Staff Specialist - Geriatric and General Medicine","https://careers.calvarycare.org.au/jobs/staff-specialist-geriatric-and-general-medicine-newcastle-nsw-australia","Newcastle, NSW, Australia","NSW","Medical Practitioners","Permanent","Closing on: Oct 20 2024","Hospitals Public","An exciting new position has been created for an experienced Geriatrician with demonstrated practice in General Medicine. This position will facilitate and provide clinical management of complex elderly patients across General Medicine and Mental ..."
"National Performance and Insights Advisor","https://careers.calvarycare.org.au/jobs/national-performance-and-insights-advisor-sydney-nsw-australia-melbourne-vic","Sydney, NSW, Australia","Melbourne, VIC, Australia","NSW","VIC","Information & Communication Technology","Fixed Term","We are looking for a skilled analyst and communicator to join our team at Calvary as National Performance and Insights Advisor!"
"Financial Controller","https://careers.calvarycare.org.au/jobs/financial-controller-newcastle-nsw-australia","Newcastle, NSW, Australia","NSW","Finance & Accounting","Permanent","Closing on: Oct 6 2024","Hospitals Public","Excellent opportunity for an experienced Accountant with strong communication, problem solving and leadership skills to join a leading health care provider in Newcastle, NSW."
"Clinical Nurse","https://careers.calvarycare.org.au/jobs/clinical-nurse-adelaide-sa-australia-46a84417-c6ac-4173-bce8-fb4460543691","Adelaide, SA, Australia","SA","Allied Health / Health Professionals","Nursing","Permanent","Closing on: Oct 5 2024","This is an exciting opportunity to join our amazing perioperative group at Calvary Adelaide Hospital"
"Care Coordinator","https://careers.calvarycare.org.au/jobs/care-coordinator-warabrook-nsw-australia","Warabrook, NSW, Australia","NSW","Administration & Office Support","Fixed Term","Closing on: Oct 18 2024","Home Care","We are looking for a Care Coordinator to join our scheduling team at Calvary!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-melbourne-vic-australia-newport","Melbourne, VIC, Australia","Newport, VIC, Australia","VIC","Nursing","Permanent","Closing on: Oct 10 2024","Join our team as Registered Nurse at Calvary!"
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/personal-care-worker-sandgate-nsw-australia-4b882c71-5782-423b-9433-a70dbceea8b1","Sandgate, NSW, Australia","NSW","Aged Care Support","Casual","Closing on: Oct 9 2024","Aged Care","Casual opportunity - Enjoy work/life balance! Join our growing team in Sandgate!"
"Personal Care Worker - Casual","https://careers.calvarycare.org.au/jobs/personal-care-worker-casual-bruce-act-australia","Bruce, ACT, Australia","ACT","Nursing","Casual","Closing on: Sep 29 2024","Aged Care","We are looking for Personal care Worker to join our team at Calvary!"
"Client Service Coordinator","https://careers.calvarycare.org.au/jobs/client-service-coordinator-adelaide-sa-australia","Adelaide, SA, Australia","SA","Administration & Office Support","Permanent","Closing on: Oct 19 2024","Home Care","We are looking for Client Services Coordinator to join our team at Calvary!"
"Clinical Care Coordinator","https://careers.calvarycare.org.au/jobs/clinical-care-coordinator-adelaide-sa-australia-d37d6c0b-6a8d-41f4-b947-f6d43288f6c8","Adelaide, SA, Australia","SA","CEO & General Management","Nursing","Permanent","Closing on: Oct 19 2024","We are looking for a Clinical Care Coordinator to join our team at Calvary Home Care!"
"Clinical Nurse Consultant - Bone Marrow Transplant (BMT) Coordinator","https://careers.calvarycare.org.au/jobs/clinical-nurse-consultant-leave-relief-newcastle-nsw-australia","Newcastle, NSW, Australia","NSW","Nursing","Fixed Term","Closing on: Sep 29 2024","Hospitals Public","We are looking for a Clinical Nurse Consultant to join our team at Calvary Mater Newcastle!"
