"card-title","card-title href","job-component-icon-and-text","job-component-icon-and-text 2","job-component-icon-and-text 3","job-component-icon-and-text 4","job-component-icon-and-text 5","job-component-icon-and-text 6","card-text"
"Registered Nurse | Cath Lab","https://careers.calvarycare.org.au/jobs/registered-nurse-cath-lab-launceston-tas-australia-b778635f-a647-460e-b0fe-1382f79e48d7","Launceston, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","We are looking for Level 1 Registered Nurses to join our team at Calvary!"
"Registered Nurse - Anaesthetics and Recovery","https://careers.calvarycare.org.au/jobs/c4f35ecf-57cc-4934-8906-08ca4c101c72","Launceston, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","•	Make a difference at one of Australia’s leading health care providers.
•	Generous salary packaging benefits, ongoing professional development and supportive team environment.
•	Permanent full time, part time and casual positions available. 
•	At..."
"Registered Nurse - Scrub/Scout","https://careers.calvarycare.org.au/jobs/6ecd8158-69f5-4046-9374-ea1b7eaa0e6b","Launceston, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","Become part of a friendly, passionate scrub/scout team at Calvary Healthcare, Launceston"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-dandenong-vic-australia","Dandenong, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Sep 30 2024","Aged Care","We are looking for Registered Nurse to join our team at Calvary!"
"Social Worker","https://careers.calvarycare.org.au/jobs/social-worker-bruce-act-australia-65d64dc8-7bef-4522-9f12-af009edb5dae","Bruce, ACT, Australia","ACT","Allied Health / Health Professionals","Casual","Hospitals Private","","We are looking for Social Worker to join our team at Calvary!"
"Team Leader","https://careers.calvarycare.org.au/jobs/team-leader-riverside-tas-australia-launceston","Launceston, TAS, Australia","Riverside, TAS, Australia","TAS","Aged Care Support","Nursing","Permanent","We are looking for Team Leaders to join our team at Riverside Nursing Home!"
"Travelling Team Leader - Aged Care","https://careers.calvarycare.org.au/jobs/travelling-team-leader-aged-care-lakes-entrance-vic-australia","Lakes Entrance, VIC, Australia","VIC","Nursing","Fixed Term","Aged Care","","Calling all adventurous Team Leader"
"Hospitality Assistant","https://careers.calvarycare.org.au/jobs/hospitality-assistant-bruce-act-australia-aa9da390-f049-4fec-b2f1-209e43abd456","Bruce, ACT, Australia","ACT","Hospitality","Casual","Hospitals Private","","We are looking for Hospitality Assistant to join our team at Calvary!"
"Registered Nurse - Rehab Unit (relocation package available)","https://careers.calvarycare.org.au/jobs/registered-nurse-rehab-unit-relocation-package-available-hobart-tas-australia","Hobart, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","We are looking for Registered General Nurse Level 1 to join our Rehab team at Calvary!"
"Registered Nurse (nights)","https://careers.calvarycare.org.au/jobs/registered-nurse-nights-launceston-tas-australia","Launceston, TAS, Australia","TAS","Nursing","Casual","Fixed Term","Permanent","Join our team as Registered Nurse at Calvary!"
"Registered Nurse - CCU","https://careers.calvarycare.org.au/jobs/registered-nurse-ccu-bruce-act-australia","Bruce, ACT, Australia","ACT","Nursing","Casual","Fixed Term","Permanent","We are looking for Registered Nurse Level 1 to join our CCU team at Calvary!"
"Physiotherapist","https://careers.calvarycare.org.au/jobs/physiotherapist-lenah-valley-tas-australia-e88b48b7-0a48-4d9f-a2f7-1d22e18e5bda","Lenah Valley, TAS, Australia","TAS","Allied Health / Health Professionals","Casual","Hospitals Private","","Seeking Physiotherapists to join our dynamic Calvary Health Care team."
"Speech Therapist","https://careers.calvarycare.org.au/jobs/speech-therapist-bruce-act-australia","Bruce, ACT, Australia","ACT","Allied Health / Health Professionals","Permanent","Hospitals Private","","We are looking for Speech Therapist to join our team at Calvary!"
"Hospital Medical Officer","https://careers.calvarycare.org.au/jobs/hospital-medical-officer-launceston-tas-australia","Launceston, TAS, Australia","TAS","Medical Practitioners","Casual","Hospitals Private","","We are looking for a Hospital Medical Officer to join our team at Calvary!"
"Registered Nurse - ICU Casual Positions","https://careers.calvarycare.org.au/jobs/4b2583f0-530d-4131-ae20-6bdd02bd8558","Lenah Valley, TAS, Australia","TAS","Nursing","Casual","Fixed Term","Permanent","Join our Registered Nurse team at Calvary Lenah Valley Hospital!"
"Registered Nurse - CCU","https://careers.calvarycare.org.au/jobs/registered-nurse-ccu-lenah-valley-tas-australia","Lenah Valley, TAS, Australia","TAS","Nursing","Casual","Fixed Term","Permanent","Join our Registered Nurse team at Calvary Lenah Valley Hospital!"
"Hospital Coordinator","https://careers.calvarycare.org.au/jobs/32dd55c0-1d17-431f-9bdf-3d2920ef3746","Lenah Valley, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","We are looking for Hospital Coordinator to join our team at Calvary!"
"Support Worker - Home Care (Benalla)","https://careers.calvarycare.org.au/jobs/ad4d4122-5be3-4e97-b847-69348aef22b0","Benalla, VIC, Australia","Shepparton, VIC, Australia","VIC","Aged Care Support","Permanent","Home Care","Join our team of Care Support Workers at Calvary - Benalla and surrounding areas!"
"Support Worker - Home Care","https://careers.calvarycare.org.au/jobs/support-worker-home-care-melbourne-vic-australia","Melbourne, VIC, Australia","Ringwood, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Sep 30 2024","We are looking for Support Workers (qualified and unqualified) to join our team at Calvary!"
"Support Worker - Home Care (Eastern Suburbs)","https://careers.calvarycare.org.au/jobs/support-worker-home-care-manningham-melbourne-vic-australia-1e9945ef-84ad-45e1-8b05-836980bcef71","Melbourne, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Sep 30 2024","Home Care","We are looking for Support Workers (qualified and unqualified) to join our team at Calvary! Vacancies available across Manningham, Doncaster and surrounding suburbs."
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-coffs-harbour-nsw-australia","Coffs Harbour, NSW, Australia","NSW","Nursing","Casual","Permanent","Closing on: Oct 30 2024","Great opportunity for qualified Registered Nurses to join our Calvary team in Coffs Harbour!"
"Travelling Registered Nurse - Aged Care","https://careers.calvarycare.org.au/jobs/travelling-registered-nurse-aged-care-berri-sa-australia-e6f0f11c-6f3f-4f7e-9acb-037f3e6d14dd","Berri, SA, Australia","SA","Nursing","Fixed Term","Closing on: Sep 30 2024","Aged Care","Calling all adventurous Registered Nurses!!"
"Safety/Risk & Quality Manager - Calvary North Adelaide Hospital","https://careers.calvarycare.org.au/jobs/safety-risk-quality-manager-calvary-north-adelaide-hospital-north-adelaide-sa-australia","North Adelaide, SA, Australia","SA","Corporate Services & Governance","Nursing","Permanent","Closing on: Sep 29 2024","We are looking for a Safety/Risk & Quality Manager to come and join our team at Calvary North Adelaide Hospital!"
"Safety/Risk & Quality Manager - Calvary Central Districts Hospital","https://careers.calvarycare.org.au/jobs/safety-risk-quality-manager-calvary-central-districts-hospital-elizabeth-vale-sa-australia","Elizabeth Vale, SA, Australia","SA","Corporate Services & Governance","Health Information Services","Nursing","Permanent","We are looking for a Safety/Risk & Quality Manager to come and join our team at Calvary Central Districts Hospital!"
"Risk, Safety and Quality Officer","https://careers.calvarycare.org.au/jobs/risk-safety-and-quality-officer-elizabeth-vale-sa-australia-8089f1cd-0c2e-43a4-8efb-1bd27cf1e5f8","Elizabeth Vale, SA, Australia","SA","Corporate Services & Governance","Health Information Services","Nursing","Permanent","We are looking for a Risk, Safety & Quality Officer to join our team at Calvary Central Districts!"
"Care Manager","https://careers.calvarycare.org.au/jobs/care-manager-morwell-vic-australia","Morwell, VIC, Australia","VIC","Corporate Services & Governance","Nursing","Permanent","Closing on: Sep 30 2024","We are looking for care manager to join our team at Calvary Gippsland"
"Disability Support Worker - Melbourne South East","https://careers.calvarycare.org.au/jobs/disability-support-worker-melbourne-south-east-melbourne-vic-australia-narre-warren-north","Melbourne, VIC, Australia","Narre Warren North, VIC, Australia","VIC","Aged Care Support","Casual","Closing on: Sep 30 2024","We are looking for qualified Disability Support Workers to join our team at Calvary! Vacancies available across Melbourne South East"
"Disability Support Worker - Ringwood/Croydon","https://careers.calvarycare.org.au/jobs/disability-support-worker-ringwood-croydon-melbourne-vic-australia-ringwood","Melbourne, VIC, Australia","Ringwood, VIC, Australia","VIC","Aged Care Support","Casual","Closing on: Sep 30 2024","We are looking for qualified Disability Support Workers to join our team at Calvary! Vacancies available across Ringwood and Croydon"
"Disability Support Worker - Inner South East","https://careers.calvarycare.org.au/jobs/disability-support-worker-inner-south-east-melbourne-vic-australia-caulfield-glen-waverley-springvale","Caulfield, VIC, Australia","Glen Waverley, VIC, Australia","Melbourne, VIC, Australia","Springvale, VIC, Australia","VIC","Aged Care Support","We are looking for qualified Disability Support Workers to join our team at Calvary!"
"Disability Support Worker (West Melbourne)","https://careers.calvarycare.org.au/jobs/disability-support-worker-west-melbourne-melbourne-vic-australia-st-albans-park-point-cook","Melbourne, VIC, Australia","Point Cook, VIC, Australia","St Albans Park, VIC, Australia","VIC","Aged Care Support","Casual","We are looking for qualified Disability Support Workers to join our team at Calvary!"
"Support Worker - Cleaning","https://careers.calvarycare.org.au/jobs/support-worker-cleaning-springvale-vic-australia-e3c096c0-26b4-4112-980f-7e1f65f4aa9d","Springvale, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Sep 28 2024","Aged Care","We are looking for support worker cleaning for calvary Springvale."
"Support Worker - Catering","https://careers.calvarycare.org.au/jobs/support-worker-catering-colac-vic-australia","Colac, VIC, Australia","VIC","Aged Care Support","Hospitality","Casual","Closing on: Sep 28 2024","We are looking for a Catering Support Worker to join our team at Calvary Barongarook Gardens."
"Support Worker - Catering / Cleaning","https://careers.calvarycare.org.au/jobs/support-worker-catering-cleaning-gawler-east-sa-australia","Gawler East, SA, Australia","SA","Aged Care Support","Hospitality","Casual","Permanent","Join our team of support workers at Calvary Trevu House in Gawler"
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/personal-care-worker-bendigo-vic-australia-32ff2cff-f011-4e16-9b7e-febc9309bb78","Bendigo, VIC, Australia","VIC","Aged Care Support","Nursing","Casual","Closing on: Sep 27 2024","We are looking for Personal Care Worker to join our team at Calvary!"
"Support Worker - Cleaning","https://careers.calvarycare.org.au/jobs/support-worker-cleaning-colac-vic-australia","Colac, VIC, Australia","VIC","Aged Care Support","Hospitality","Casual","Closing on: Sep 27 2024","We are looking for a Cleaning Support Worker to join our team at Calvary Barongarook Gardens."
"Clinical Care Manager","https://careers.calvarycare.org.au/jobs/clinical-care-manager-mt-eliza-vic-australia","Mt Eliza, VIC, Australia","VIC","Nursing","Permanent","Closing on: Sep 27 2024","Aged Care","We are looking for Clinical Care Manager to join our team at Calvary!"
"Leisure & Activities Officer","https://careers.calvarycare.org.au/jobs/leisure-activities-officer-springvale-vic-australia","Springvale, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Sep 27 2024","Aged Care","We are looking for Leisure & Activities Officer- Springvale- permanent.   to join our team at Calvary!"
"Support worker catering","https://careers.calvarycare.org.au/jobs/support-worker-catering-springvale-vic-australia-9eea8efa-5b54-4b73-9f2a-79c2bffe8ea9","Springvale, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Sep 27 2024","Aged Care","We are looking for Support Worker - Catering located in Springvale."
"Team Leader - Casual","https://careers.calvarycare.org.au/jobs/team-leader-casual-doncaster-east-vic-australia","Doncaster East, VIC, Australia","VIC","Nursing","Casual","Permanent","Closing on: Sep 30 2024","Join our team at Calvary"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-doncaster-east-vic-australia-e7b3108c-8582-408e-9687-1b51694eeb7c","Doncaster East, VIC, Australia","VIC","Nursing","Permanent","Closing on: Sep 30 2024","Aged Care","Join our team at Calvary!"
"Maintenance Officer - New Port","https://careers.calvarycare.org.au/jobs/maintenance-officer-newport-vic-australia","Newport, VIC, Australia","VIC","Maintenance, Engineering & Trades","Permanent","Closing on: Sep 30 2024","Aged Care","We are looking for a Maintenance Officer to join our team at Calvary!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-launceston-tas-australia-de4fdad7-baaf-4e0f-9433-167cf93cbeaa","Launceston, TAS, Australia","TAS","Nursing","Casual","Fixed Term","Permanent","Join our supportive team at RN at Sandhill, Calvay Healthcare!"
"Registered Nurse - sponsorship available for RN's with AHPRA reg!","https://careers.calvarycare.org.au/jobs/registered-nurse-sponsorship-available-for-rn-s-with-aprah-reg-riverside-tas-australia","Riverside, TAS, Australia","TAS","Nursing","Casual","Permanent","Aged Care","Join our team as REGISTERED NURSE at Calvary!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-launceston-tas-australia-5b99db67-1a62-4698-87f9-606bf90e0f2d","Launceston, TAS, Australia","TAS","Nursing","Casual","Fixed Term","Permanent","Join our Registered Nurse team on Findlay ward at Calvary St Luke's Hospital!"
"Deputy Director of Clinical Services","https://careers.calvarycare.org.au/jobs/deputy-director-of-clinical-services-launceston-tas-australia","Launceston, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","Join our Registered Nurse team at Calvary Launceston Hospital as Deputy Director of Clinical Services"
"Registered Nurse - HDU","https://careers.calvarycare.org.au/jobs/f79a6e98-434a-478b-adb4-51b48c79136c","Launceston, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","Join our friendly and supportive team at Calvary, Launceston!"
"Registrar/Senior Medical Officer - Intensive Care Unit","https://careers.calvarycare.org.au/jobs/registrar-senior-medical-officer-intensive-care-unit-adelaide-sa-australia-186e0ddd-216a-4337-beb7-38077a588250","Adelaide, SA, Australia","SA","Allied Health / Health Professionals","Casual","Fixed Term","Permanent","We are looking for Experienced Registrars/Senior Medical Officers to join our ICU team at Calvary Adelaide Hospital!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-south-west-rocks-nsw-australia-f41b92c2-b8f6-4561-ad7f-ee70b15e7895","South West Rocks, NSW, Australia","NSW","Allied Health / Health Professionals","Nursing","Permanent","Closing on: Sep 30 2024","Exciting opportunity for a qualified Registered Nurse to join our team at Calvary!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-kogarah-nsw-australia-379effe7-9183-475e-b137-9b56b9b88c98","Kogarah, NSW, Australia","NSW","Nursing","Casual","Closing on: Dec 13 2024","Hospitals Public","We are looking for casual Registered Nurses to join our team at Calvary!"
"Enrolled Nurse","https://careers.calvarycare.org.au/jobs/enrolled-nurse-kogarah-nsw-australia","Kogarah, NSW, Australia","NSW","Nursing","Casual","Closing on: Dec 13 2024","Hospitals Public","We are looking for Enrolled Nurses to join our team at Calvary!"
"Enrolled Nurse","https://careers.calvarycare.org.au/jobs/enrolled-nurse-lenah-valley-tas-australia","Lenah Valley, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","We are looking for Enrolled Nurse to join our team at Calvary!"
"Travelling Registered Nurse - Aged Care","https://careers.calvarycare.org.au/jobs/travelling-registered-nurse-aged-care-sydney-nsw-australia","Sydney, NSW, Australia","NSW","Nursing","Fixed Term","Aged Care","","Calling all adventurous Registered Nurses!!"
"Registered and Enrolled Nurses - Acute Medical Unit","https://careers.calvarycare.org.au/jobs/registered-and-enrolled-nurses-acute-medical-unit-lenah-valley-tas-australia","Lenah Valley, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","We are looking for Registered and Enrolled Nurses to join our team at Calvary!"
"Registered and Enrolled Nurses - Hospital (Fixed Term)","https://careers.calvarycare.org.au/jobs/registered-and-enrolled-nurses-hospital-fixed-term-hobart-tas-australia","Hobart, TAS, Australia","TAS","Nursing","Casual","Fixed Term","Permanent","We are looking for Registered and Enrolled Nurses to join our team at Calvary!"
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/personal-care-worker-wendouree-vic-australia-c8e7692c-007a-4869-9be9-3d235191efd4","Wendouree, VIC, Australia","VIC","Aged Care Support","Casual","Permanent","Aged Care","We are looking for Personal Care Worker to join our team at Calvary!"
"Occupational Therapist","https://careers.calvarycare.org.au/jobs/9333667a-4e95-4a85-bab4-f6b095ed4947","Hobart, TAS, Australia","TAS","Allied Health / Health Professionals","Permanent","Hospitals Private","","We are looking for Occupational Therapist to join our team at Calvary, St Johns!"
"Expression of Interest","https://careers.calvarycare.org.au/jobs/expression-of-interest-melbourne-victoria-australia-sydney-nsw-bruce-act-deakin-cundletown-cardiff-cessnock-eleebana-forster-kogarah-lakelands-maitland-muswellbrook-newcastle-ryde-sandgate-si","Bruce, ACT, Australia","Deakin, ACT, Australia","Belmont North, NSW, Australia","Belrose, NSW, Australia","Brighton-Le-Sands, NSW, Australia","Cessnock, NSW, Australia","If you are interested in a career with Calvary, register your interest now!"
"Travelling Healthcare Professionals","https://careers.calvarycare.org.au/jobs/ff3e2525-9b21-4e93-b3e4-5f185fe82d77","Bruce, ACT, Australia","Canberra, ACT, Australia","Deakin, ACT, Australia","Belmont North, NSW, Australia","Belrose, NSW, Australia","Brighton-Le-Sands, NSW, Australia","Unleash your adventurous spirit while working by joining our Travelling Healthcare Professional program. This is an exciting and unique opportunity that offers Health Care Professionals to work with Calvary while immersing yourself in Australia’s ..."
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse","Melbourne, VIC, Australia","","","","","","This is the summary text that will display on the search page. This is where you get the applicants attention and prompt them to open the job description!"
"Support Worker - Home Care (Devonport)","https://careers.calvarycare.org.au/jobs/support-worker-home-care-devonport-riverside-tas-australia","Riverside, TAS, Australia","TAS","Aged Care Support","Casual","Home Care","","Join our team of Care Support Workers at Calvary!"
"Support Worker - Home Care (Hobart)","https://careers.calvarycare.org.au/jobs/support-worker-home-care-hobart-hobart-tas-australia","Hobart, TAS, Australia","TAS","Aged Care Support","Casual","Aged Care","","Join our team of Care Support Workers at Calvary!"
"Chef - casual","https://careers.calvarycare.org.au/jobs/chef-casual-hobart-tas-australia","Hobart, TAS, Australia","TAS","Hospitality","Casual","Hospitals Private","","We are looking for a Casual Chef to join our team at Calvary!"
"Visiting Medical Officer - Psychiatry","https://careers.calvarycare.org.au/jobs/visiting-medical-officer-psychiatry-bruce-act-australia","Bruce, ACT, Australia","ACT","Medical Practitioners","Fixed Term","Hospitals Private","","We are looking for Visiting Medical Officer - Psychiatry to join our team at Bruce Private, Calvary,"
"Cafe Assistants","https://careers.calvarycare.org.au/jobs/cafe-assistants-hobart-tas-australia","Hobart, TAS, Australia","TAS","Hospitality","Casual","Hospitals Private","","We are looking for Cafe assistants to join our team at Calvary!"
"Enrolled Nurse - Rehab","https://careers.calvarycare.org.au/jobs/8aba006a-6ab9-4636-9119-12fce53e3c21","Hobart, TAS, Australia","TAS","Nursing","Permanent","Hospitals Private","","We are looking for ENROLLED NURSES to join our Rehab team at Calvary!"
"Travelling Registered Nurse - National Casual Pool","https://careers.calvarycare.org.au/jobs/travelling-registered-nurse-national-casual-pool-sydney-nsw-australia","Sydney, NSW, Australia","NSW","Nursing","Fixed Term","Aged Care","","Calling all adventurous Registered Nurses!!"
"Sterilising Technician","https://careers.calvarycare.org.au/jobs/1bce557c-90be-44c6-9384-1ed42bf7ea82","Lenah Valley, TAS, Australia","TAS","Property, Procurement & Supply","Permanent","Hospitals Private","","We are looking for Sterilising Technician to join our team at Calvary!"
"Clinical Psychologist/Psychologist","https://careers.calvarycare.org.au/jobs/eef86cb8-2d1a-4d4b-be0d-cbf7ebb422d3","Bruce, ACT, Australia","ACT","Allied Health / Health Professionals","Permanent","Hospitals Private","","We are looking for a Psychologist to join our team at Calvary!"
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/personal-care-worker-newport-vic-australia","Newport, VIC, Australia","VIC","Nursing","Casual","Fixed Term","Permanent","We are looking for Personal Care Worker to join our team at Calvary!"